"","score","text"
"101",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"102",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"103",-1,"RT @SuaraAnies: Anies-Sandi Pastikan Kontrak Jakarta Bersyariah adalah Fitnah https://t.co/ZRHFHQ8BR8"
"104",-1,"Hati-hati sama kedok syariah, liat belakangnya siapa yg sokong 
https://t.co/VWt5DIw4KN https://t.co/IWWPtuWOCc"
"105",-1,"RT @SuaraAnies: Anies-Sandi Pastikan Kontrak Jakarta Bersyariah adalah Fitnah https://t.co/ZRHFHQ8BR8"
"106",-1,"RT @TyacaemCut: #AniesTakutDebat krna nti di tanyain soal jakarta bersyariah sm   
@Rosianna766Hi .makanya anies ga dtg di acaranya rosi..h…"
"107",-1,"RT @TyacaemCut: #AniesTakutDebat krna nti di tanyain soal jakarta bersyariah sm   
@Rosianna766Hi .makanya anies ga dtg di acaranya rosi..h…"
"108",-1,"RT @HajiLolong: Gerombolan Anis - Sandi - FPI - PKS - Gerindra - FUI - HTI sangat jahat! Seperti ini Jakarta Bersyariah yg akan elu bangun?…"
"109",-3,"RT @ulinyusron: Mainan kok Jakarta bersyariah. Anies Sandi masih main ayat, mayat, jinayat, kualat, sekarat, lama-lama kiamat. Program nyon…"
"110",0,"Don’t let loneliness drive you back into the arms of someone you know you don’t b #NetworkNumberOne.com #shidm5044 Jakarta Bersyariah"
"111",-3,"Tangkaap!!.. Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/KgRVocI6Ec https://t.co/shMTVfnwu1"
"112",-1,"Re: Spanduk Jakarta Bersyariah | Saya RT supaya kita gak ada di echo chambers ya, temans. https://t.co/r8iTq6Ih3z"
"113",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"114",-3,"RT okezonenews ""Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/RtE2sDYqvf https://t.co/Bsb759fW3X"""
"115",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"116",0,"RT @datuakrajoangek: Eh tapi ada pertanyaan nih. Adakah pernyataan yg tegas dari mereka bahwa jakarta bersyariah itu fitnah?Bahwa mereka ti…"
"117",-2,"RT @JokoHQ: Ini para penggagas Jakarta Bersyariah. Marketnya Anies. Nggak mungkin dibantah isi spanduknya. https://t.co/nOfa6ZIFSk"
"118",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"119",-2,"RT @JokoHQ: Ini para penggagas Jakarta Bersyariah. Marketnya Anies. Nggak mungkin dibantah isi spanduknya. https://t.co/nOfa6ZIFSk"
"120",-3,"Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/Bs7b224uhT"
"121",-3,"Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/bYicQFMQN3"
"122",-3,"#BeritaIndonesia Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/HteuTK4OB1 V… https://t.co/b0sXtWjDyk"
"123",-3,"Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/2Ewu7Jxpz7 https://t.co/cQkpEeKWPt"
"124",-3,"Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/W2auurMkYx"
"125",-3,"Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/3rMKRnLO4d https://t.co/sW1HRgwg0V"
"126",-3,"Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/AaTaD38HNV"
"127",-1,"jakarta bersyariah biji lo meledak!"
"128",1,"RT @kompascom: Tim Anies-Sandi Akan Laporkan Spanduk ""Jakarta Bersyariah"" ke Bawaslu. https://t.co/oGYMiKhId0"
"129",-2,"Anies soal spanduk Jakarta Bersyariah: Fitnah murahan, sudah hafal https://t.co/1ZHla1QzOT #SMS_089605183023"
"130",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"131",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"132",-1,"RT @Alitingting2: Maka dari itu, pantas diduga bhw spanduk JAKARTA BERSYARIAH ini memang mereka yg pasang. Karena ide syariah memang mereka…"
"133",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"134",0,"RT @datuakrajoangek: Eh tapi ada pertanyaan nih. Adakah pernyataan yg tegas dari mereka bahwa jakarta bersyariah itu fitnah?Bahwa mereka ti…"
"135",0,"RT @mediaindonesia: Anies-Sandi Bantah Tebar Spanduk 'Jakarta Bersyariah' https://t.co/3KOlLEMaNu"
"136",-2,"RT @JokoHQ: Ini para penggagas Jakarta Bersyariah. Marketnya Anies. Nggak mungkin dibantah isi spanduknya. https://t.co/nOfa6ZIFSk"
"137",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"138",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"139",0,"RT @MasTBP_: Jadi kalau pilih Anies-Sandi nantinya Jakarta Bersyariah? Trus Indonesia jadi Negara Khilafah? 
So sorry deh Gue<ed><U+00A0><U+00BD><ed><U+00B1><U+008E> https://t.co…"
"140",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"141",0,"RT @GunRomli: FUI: NKRI Bersyariah Harga Mati, ini Sekjennya Al-Khaththath alias Gatot Pendukung Anies, mulai dr Jakarta Bersyariah https:/…"
"142",-1,"Pgn rasanya bilang, kalo gue itu cemburu. Tapi...Gue gak berhak, gue bukan siapa-siapanya. :')
 
 Jakarta Bersyariah"
"143",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"144",0,"RT @cagubnyinyir: Apakah Percaya! AnisSandi kolaborasi dgn Al Katrok BANTAH Jakarta BerSyariah? https://t.co/qzJHfvnP8R @1005Putra @ApManan…"
"145",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"146",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"147",0,"RT @MasTBP_: Jadi kalau pilih Anies-Sandi nantinya Jakarta Bersyariah? Trus Indonesia jadi Negara Khilafah? 
So sorry deh Gue<ed><U+00A0><U+00BD><ed><U+00B1><U+008E> https://t.co…"
"148",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"149",-1,"RT @GunRomli: Jelas2 sekali Al-Khaththath alias Gatot ini brsama FPI yg dukung Anies ingin tegakkan NKRI Bersyariah, ya mulai dr Jakarta Be…"
"150",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"151",1,"Bagaimana saya mau mencoblos beliau utk memperjuangkan Jakarta bersyariah sementara beliau tdk tahan dg kritikan https://t.co/bwuXeVyBZb"
"152",-1,"https://t.co/Tgo0ylvA0l
#politikbusuk. smga Allah swt buka mata rakyat indonesia. krna cuma Allah swt yg bs buktikan bhwa mrka bncidgn islam"
"153",0,"RT @datuakrajoangek: Eh tapi ada pertanyaan nih. Adakah pernyataan yg tegas dari mereka bahwa jakarta bersyariah itu fitnah?Bahwa mereka ti…"
"154",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"155",-2,"RT @JokoHQ: Ini para penggagas Jakarta Bersyariah. Marketnya Anies. Nggak mungkin dibantah isi spanduknya. https://t.co/nOfa6ZIFSk"
"156",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"157",0,"Orang berkualitas yang dibayar rendah, bagai emas yang diperlakukan seperti kuningan, karena p #NOMOR1.com #warmozy311 Jakarta Bersyariah"
"158",0,"RT @datuakrajoangek: Eh tapi ada pertanyaan nih. Adakah pernyataan yg tegas dari mereka bahwa jakarta bersyariah itu fitnah?Bahwa mereka ti…"
"159",1,"RT @GunRomli: Sepak Terjang Al-Khaththath Alias Gatot Saptono https://t.co/IkACewCL7q jejak NKRI Bersyariah &amp; Jakarta Bersyariah pendukung…"
"160",2,"RT @GunRomli: Jadi Anies gak usa bersandiwara soal spanduk2 Jakarta Bersyariah, tanya dulu pendukungnya, sbgmana spanduk2 SARA oleh penduku…"
"161",-1,"RT @GunRomli: Jelas2 sekali Al-Khaththath alias Gatot ini brsama FPI yg dukung Anies ingin tegakkan NKRI Bersyariah, ya mulai dr Jakarta Be…"
"162",-1,"RT @GunRomli: Spanduk Jakarta Bersyariah unt mengalihkan isu Al-Khaththath alias Gatot sbg pendukung Anies-Sandi yg ditangkap polisi"
"163",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"164",0,"RT @MasTBP_: Jadi kalau pilih Anies-Sandi nantinya Jakarta Bersyariah? Trus Indonesia jadi Negara Khilafah? 
So sorry deh Gue<ed><U+00A0><U+00BD><ed><U+00B1><U+008E> https://t.co…"
